"data";"internacoes";"mortes"
2020-02-02;12;0
2020-02-03;21;0
2020-02-04;12;0
2020-02-05;16;0
2020-02-06;16;0
2020-02-07;12;0
2020-02-08;12;0
2020-02-09;12;0
2020-02-10;21;0
2020-02-11;14;0
2020-02-12;21;0
2020-02-13;23;0
2020-02-14;18;0
2020-02-15;19;0
2020-02-16;16;0
2020-02-17;30;0
2020-02-18;25;0
2020-02-19;40;0
2020-02-20;34;0
2020-02-21;19;0
2020-02-22;19;0
2020-02-23;22;0
2020-02-24;24;0
2020-02-25;26;0
2020-02-26;44;0
2020-02-27;47;0
2020-02-28;36;0
2020-02-29;35;0
2020-03-01;33;0
2020-03-02;35;0
2020-03-03;52;0
2020-03-04;40;0
2020-03-05;43;0
2020-03-06;34;0
2020-03-07;39;0
2020-03-08;48;0
2020-03-09;76;0
2020-03-10;61;0
2020-03-11;86;0
2020-03-12;132;1
2020-03-13;125;0
2020-03-14;145;0
2020-03-15;172;2
2020-03-16;276;3
2020-03-17;318;2
2020-03-18;466;8
2020-03-19;550;8
2020-03-20;621;16
2020-03-21;597;14
2020-03-22;581;19
2020-03-23;802;31
2020-03-24;828;26
2020-03-25;864;25
2020-03-26;1021;35
2020-03-27;993;51
2020-03-28;838;58
2020-03-29;839;54
2020-03-30;1113;55
2020-03-31;1021;73
2020-04-01;933;81
2020-04-02;1009;80
2020-04-03;900;85
2020-04-04;817;107
2020-04-05;730;104
2020-04-06;961;93
2020-04-07;925;101
2020-04-08;907;86
2020-04-09;833;80
2020-04-10;716;108
2020-04-11;735;100
2020-04-12;726;97
2020-04-13;914;121
2020-04-14;958;95
2020-04-15;990;101
2020-04-16;951;101
2020-04-17;944;111
2020-04-18;792;99
2020-04-19;810;104
2020-04-20;1002;138
2020-04-21;1067;114
2020-04-22;1333;132
2020-04-23;1301;157
2020-04-24;1280;143
2020-04-25;1124;132
2020-04-26;1101;148
2020-04-27;1468;154
2020-04-28;1375;172
2020-04-29;1389;179
2020-04-30;1390;157
2020-05-01;1310;173
2020-05-02;1173;172
2020-05-03;1129;181
2020-05-04;1428;167
2020-05-05;1407;197
2020-05-06;1506;173
2020-05-07;1255;192
2020-05-08;1263;219
2020-05-09;1136;189
2020-05-10;1178;226
2020-05-11;1590;186
2020-05-12;1575;209
2020-05-13;1506;220
2020-05-14;1582;223
2020-05-15;1464;210
2020-05-16;1282;246
2020-05-17;1265;228
2020-05-18;1620;237
2020-05-19;1596;231
2020-05-20;1604;230
2020-05-21;1602;250
2020-05-22;1647;269
2020-05-23;1380;258
2020-05-24;1193;221
2020-05-25;1526;237
2020-05-26;1534;239
2020-05-27;1542;255
2020-05-28;1434;246
2020-05-29;1423;261
2020-05-30;1280;251
2020-05-31;1256;243
2020-06-01;1654;289
2020-06-02;1568;280
2020-06-03;1511;233
2020-06-04;1544;256
2020-06-05;1493;238
2020-06-06;1339;244
2020-06-07;1250;241
2020-06-08;1717;294
2020-06-09;1639;254
2020-06-10;1676;264
2020-06-11;1464;289
2020-06-12;1492;272
2020-06-13;1377;290
2020-06-14;1186;252
2020-06-15;1488;277
2020-06-16;1517;279
2020-06-17;1544;278
2020-06-18;1607;259
2020-06-19;1453;269
2020-06-20;1321;256
2020-06-21;1176;264
2020-06-22;1600;252
2020-06-23;1530;266
2020-06-24;1471;248
2020-06-25;1480;237
2020-06-26;1433;259
2020-06-27;1125;245
2020-06-28;1174;229
2020-06-29;1578;245
2020-06-30;1577;253
2020-07-01;1508;233
2020-07-02;1470;256
2020-07-03;1412;241
2020-07-04;1292;222
2020-07-05;1324;265
2020-07-06;1672;245
2020-07-07;1694;268
2020-07-08;1692;255
2020-07-09;1582;262
2020-07-10;1570;263
2020-07-11;1409;245
2020-07-12;1353;283
2020-07-13;1737;278
2020-07-14;1637;282
2020-07-15;1549;281
2020-07-16;1554;273
2020-07-17;1588;278
2020-07-18;1311;287
2020-07-19;1259;232
2020-07-20;1593;254
2020-07-21;1571;268
2020-07-22;1541;274
2020-07-23;1560;249
2020-07-24;1501;247
2020-07-25;1261;295
