"mes";"mortes";"faixa_etaria"
jan 2021;14;"0 a 19 anos"
jan 2021;261;"20 a 39 anos"
jan 2021;1235;"40 a 59 anos"
jan 2021;3665;"60 a 79 anos"
jan 2021;2002;"80 anos ou mais"
fev 2021;13;"0 a 19 anos"
fev 2021;263;"20 a 39 anos"
fev 2021;1368;"40 a 59 anos"
fev 2021;3347;"60 a 79 anos"
fev 2021;1670;"80 anos ou mais"
mar 2020;4;"0 a 19 anos"
mar 2020;27;"20 a 39 anos"
mar 2020;79;"40 a 59 anos"
mar 2020;244;"60 a 79 anos"
mar 2020;127;"80 anos ou mais"
mar 2021;38;"0 a 19 anos"
mar 2021;1072;"20 a 39 anos"
mar 2021;4979;"40 a 59 anos"
mar 2021;9576;"60 a 79 anos"
mar 2021;3412;"80 anos ou mais"
abr 2020;10;"0 a 19 anos"
abr 2020;169;"20 a 39 anos"
abr 2020;825;"40 a 59 anos"
abr 2020;1626;"60 a 79 anos"
abr 2020;850;"80 anos ou mais"
abr 2021;30;"0 a 19 anos"
abr 2021;1129;"20 a 39 anos"
abr 2021;5151;"40 a 59 anos"
abr 2021;9015;"60 a 79 anos"
abr 2021;1896;"80 anos ou mais"
mai 2020;33;"0 a 19 anos"
mai 2020;294;"20 a 39 anos"
mai 2020;1513;"40 a 59 anos"
mai 2020;3209;"60 a 79 anos"
mai 2020;1790;"80 anos ou mais"
jun 2020;18;"0 a 19 anos"
jun 2020;284;"20 a 39 anos"
jun 2020;1511;"40 a 59 anos"
jun 2020;3810;"60 a 79 anos"
jun 2020;2189;"80 anos ou mais"
jul 2020;25;"0 a 19 anos"
jul 2020;271;"20 a 39 anos"
jul 2020;1559;"40 a 59 anos"
jul 2020;3999;"60 a 79 anos"
jul 2020;2180;"80 anos ou mais"
ago 2020;14;"0 a 19 anos"
ago 2020;194;"20 a 39 anos"
ago 2020;1203;"40 a 59 anos"
ago 2020;3504;"60 a 79 anos"
ago 2020;1789;"80 anos ou mais"
set 2020;13;"0 a 19 anos"
set 2020;159;"20 a 39 anos"
set 2020;820;"40 a 59 anos"
set 2020;2327;"60 a 79 anos"
set 2020;1330;"80 anos ou mais"
out 2020;10;"0 a 19 anos"
out 2020;110;"20 a 39 anos"
out 2020;534;"40 a 59 anos"
out 2020;1653;"60 a 79 anos"
out 2020;898;"80 anos ou mais"
nov 2020;2;"0 a 19 anos"
nov 2020;85;"20 a 39 anos"
nov 2020;480;"40 a 59 anos"
nov 2020;1471;"60 a 79 anos"
nov 2020;818;"80 anos ou mais"
dez 2020;10;"0 a 19 anos"
dez 2020;187;"20 a 39 anos"
dez 2020;916;"40 a 59 anos"
dez 2020;2585;"60 a 79 anos"
dez 2020;1341;"80 anos ou mais"
NA;4;"0 a 19 anos"
NA;125;"20 a 39 anos"
NA;701;"40 a 59 anos"
NA;995;"60 a 79 anos"
NA;242;"80 anos ou mais"
